No.,会社名,設立年,代表者名,従業員数,住所,会社URL
163,安田倉庫株式会社, - , - ,100-499人,東京都港区芝浦三丁目1番1号 msb Tamachi 田町ステーションタワーN 29階,http://www.yasuda-soko.co.jp/
164,ホンダロジコム株式会社,1963年, - ,1000人以上,愛知県春日井市八田町5丁目16番6,http://honda-logi.com/
165,株式会社S‐PAL,2003年, - ,30-99人,千葉県船橋市日の出2-20-2 SHOWAビル4F,https://www.s-pal.info/
166,鴻池運輸株式会社,1945年, - ,1000人以上,大阪府大阪市中央区伏見町4-3-9,https://www.konoike.net/
167,一宮運輸株式会社,1961年, - ,1000人以上,愛媛県新居浜市西原町2丁目4-36,http://www.ichimiya.co.jp/tran/
168,埼九運輸株式会社,1979年, - ,100-499人,埼玉県狭山市広瀬東一丁目10番2号,http://www.saikyu-trp.com/
169,京都通運　株式会社,1949年, - ,100-499人,京都府京都市下京区大宮通七条下る上之町438番地,http://www.kyoto-tsuun.com/
170,扇町運送株式会社,1953年, - ,100-499人,大阪府大阪市住之江区南港南4丁目1番7号,https://ogimachi.co.jp/
171,株式会社アドバンスサポート・ジャパン,2018年,島崎　範昭,10-29人,東京都文京区湯島3-13-8湯島不二ビル7F,https://a-s-j.jp/
172,山九株式会社, - , - ,1000人以上,東京都中央区勝どき6丁目5番23号,https://www.sankyu.co.jp/
173,株式会社イマージュソリューションズ,2007年, - ,10-29人,東京都港区芝大門1-10-11　芝大門センタービル10F,http://www.image-sol.com/
174,株式会社エスプールロジスティクス,2013年, - ,100-499人,東京都千代田区外神田1-18-13 秋葉原ダイビル6階,https://www.spool.co.jp/service/logi/
175,エス・アイ・ロジ株式会社,2007年, - , - ,宮城県仙台市泉区黒松1丁目1番27号,http://si-logi.com/
176,共通運送株式会社,1959年,永原 敏雅,500-999人,北海道札幌市白石区平和通11丁目北6番19号,http://www.kyotsu.co.jp/
177,茨城乳配株式会社,1965年, - ,100-499人,茨城県水戸市千波町1821番地の1,http://nyuhai.net/company/outline
178,グロリアス・ジャパン株式会社,1968年, - , - ,長野県安曇野市三郷温3868番地,https://www.glorious-japan.net/
179,遠州トラック株式会社,1965年, - ,1000人以上,静岡県袋井市木原627-3,https://www.enshu-truck.co.jp/
180,大塚倉庫株式会社,1961年, - , - ,大阪府大阪市港区石田1-3-16,http://www.otsukawh.co.jp/
181,株式会社データビジネスサプライ,1976年, - ,30-99人,東京都渋谷区代々木3-28-6いちご西参道ビル別館,https://www.dbs.jp/
182,株式会社アート･プラ,1988年, - , - ,東京都江戸川区南小岩5-18-13　Aozoraビル2F,https://www.art-pla.co.jp/
183,佐川急便株式会社,1965年, - ,1000人以上,京都府京都市南区上鳥羽角田町68番地,https://www.sagawa-exp.co.jp/
184,日本ロジテム株式会社,1944年, - ,1000人以上,東京都港区新橋5-11-3　新橋住友ビル,http://www.logitem.co.jp/
185,株式会社アイティエス,2000年, - , - ,東京都港区港南二丁目13番31号品川NSSビル8階,http://www.its-butsuryu.co.jp/
186,株式会社イワタ輸送センター,1971年, - ,10-29人,静岡県袋井市堀越 438-1,http://www.exp-iwata.jp/
187,株式会社ヒロジ,2005年, - ,30-99人,沖縄県糸満市字糸満2277番2,http://hilogi.com/company.html
188,丸全昭和運輸株式会社,1931年, - ,1000人以上,神奈川県横浜市中区南仲通　2-15,https://www.maruzenshowa.co.jp/
189,相良運輸株式会社,1988年, - ,30-99人,栃木県宇都宮市今宮4-5-36,http://www.j-sagara.com/
190,月島倉庫株式会社,1946年, - ,100-499人,東京都中央区勝どき4-6-2 パークタワー勝どきミッド6階,https://www.tsukiso.co.jp/
191,アサヒロジスティクス株式会社,1955年, - ,1000人以上,埼玉県さいたま市大宮区桜木町1丁目10-17シーノ大宮サウスウィング16階,http://www.asahilogistics.co.jp
192,信州名鉄運輸株式会社,1946年, - ,500-999人,長野県松本市和田4861,https://www.shinmei-net.co.jp/
193,株式会社福島運輸,1979年, - ,100-499人,山梨県笛吹市境川町藤垈3270-5,https://www.fukushimaunyu.co.jp/
194,三和梱包運輸株式会社,1957年, - ,30-99人,愛知県清須市春日長久寺61番地,http://www.sanwa-logi.co.jp/
195,大成海運株式会社, - , - ,30-99人,愛媛県新居浜市惣開町2-5,http://www.taiseikaiun.co.jp
196,福岡倉庫株式会社,1948年, - ,100-499人,福岡県福岡市東区多の津2-9-8,http://www.fukuokasoko.com/
197,北海道物流株式会社,1982年, - ,10-29人,北海道石狩市新港南2丁目3718番3,https://h-logi.co.jp/
198,株式会社二葉,1948年, - ,1000人以上,東京都港区高輪三丁目19番15号,https://www.ftb.co.jp/
199,株式会社帝国倉庫,1907年, - ,1000人以上,東京都江東区清澄1丁目5番1号,https://www.teisoh.co.jp/
200,株式会社アルプス物流営業部,1964年, - ,1000人以上,神奈川県横浜市港北区新羽町1756,https://www.alps-logistics.com/
201,北王流通株式会社,1980年, - ,1000人以上,東京都北区王子2丁目30-2井門王子ビル（旧三井住友海上王子ビル）,https://www.hrg.co.jp/
202,株式会社キーペックス,1984年, - ,30-99人,千葉県千葉市中央区中央港2-4-4,https://www.keepex.co.jp/
203,東亜物流株式会社,1989年, - ,1000人以上,東京都江戸川区一之江1-9-13,https://www.toaline.co.jp/
204,株式会社横急運輸,1976年, - ,30-99人,神奈川県川崎市幸区小倉5-29-10,http://www.yokokyuunyu.co.jp/
205,日本通運株式会社,1937年, - ,1000人以上,東京都千代田区神田和泉町2番地,https://www.nittsu.co.jp/
206,GBtechnology株式会社,2014年, - ,1000人以上,東京都渋谷区東1-26-30　 SHIBUYA EAST BLDG 6階,https://greenbox722.co.jp/
207,株式会社ギオン,1965年, - ,1000人以上,神奈川県相模原市中央区南橋本1-5-1,https://kk-gion.co.jp/
