No.,会社名,設立年,代表者名,従業員数,住所,会社URL
86,木村社会保険労務士事務所, - , - , - ,宮城県仙台市若林区六丁目字南97－3 別館2F,http://kimura-roumu.jp/
87,あい社会保険労務士法人,2009年, - ,1-4人,神奈川県横浜市泉区和泉中央南3-7-8 山村ビル2F,https://yoshimoto-fp-sr.com/
88,たかはし社会保険労務士事務所,2011年, - ,1-4人,神奈川県川崎市幸区中幸町3-18-1　小竹ビル701,http://www.sr-taka.jp/
89,労務管理＋（PLUS）1, - , - ,5-9人,東京都新宿区新宿1-3-7唐木ビル501,http://sr-office-wing.net/
90,社会保険労務士　箕輪オフィス,2006年, - ,1-4人,東京都中央区日本橋兜町19-8　八重洲ＫＨビル４階,http://kminowa.com/
91,社会保険労務士法人クリアパートナーズ,2020年, - ,5-9人,東京都新宿区新宿１－３０－６御苑イキビル３０２号,https://www.clearpartners.jp/
92,神谷綾社会保険労務士事務所,2013年, - ,1-4人,千葉県船橋市前原西2-32-10 津田沼駅前ビル3階,http://www.aya-sr.com/
93,社会保険労務士法人 齋藤オフィス,2008年, - ,1-4人,東京都港区浜松町1丁目20番10号 ライオネス浜松町702号,http://sr-masa.com/
94,社会保険労務士事務所トリプルウィン,2009年, - , - ,東京都千代田区大手町1-5-1 大手町ファーストスクエアイーストタワー4階,http://www.triple-win.jp/
95,大畑社会保険労務士事務所,2012年, - , - ,石川県金沢市此花町3-2金沢駅前第一ビル,http://www.ohata-jimusho.com/
96,あおい社会保険労務士法人,2002年, - ,5-9人,太田町6-79 アブソルート横濱馬車道ビル４F,http://www.roumu-shi.com/
97,SATO社会保険労務士法人,2003年,関根　章,500-999人,東京都豊島区南大塚3-32-1大塚S&Sビル5F,http://www.sato-group-sr.jp/
98,なかの経営労務事務所,2010年, - ,1-4人,東京都港区芝大門2-3-7 DO芝大門ビル4F,http://www.nkr-office.com/
99,Bizer株式会社,2013年, - ,5-9人,東京都千代田区九段南1-5-6 りそな九段ビル5F KSフロア,https://bizer.jp/
100,社会保険労務士法人岩城労務管理事務所,1965年, - ,10-29人,東京都世田谷区世田谷1-33-2,http://www.iwaki-pmo.co.jp/
101,コントリビュート社会保険労務士法人,2020年, - , - ,神田三崎町2-15-4-6階,http://www.office-shidooka.com/
102,ウィル社会保険労務士事務所, - , - , - ,神奈川県相模原市相模大野7-40-10　 アートプラザ1階,https://www.wewill-sr.com/
103,木内社会保険労務士事務所,2003年, - ,1-4人,東京都文京区本郷4-1-3 シャルム’80　5階,http://www.kiuchi-sr.com/
104,社会保険労務士法人・行政書士こばやし事務所,1905年, - , - ,吉田町130-1　ラヴィドール横濱戸塚503号,http://www.office-k-sr.or.jp/
105,社会保険労務士法人アトラス,2011年, - , - ,東京都新宿区新宿1-3-12 壱丁目参番館ビル6Ｆ,http://www.ak-roumu.com/
106,社会保険労務士久保事務所,2020年, - , - ,岩本町三丁目3-13グレンパーク秋葉原イースト202,http://www.kubo-office.jp/
107,山田社会保険労務士事務所,1905年, - ,10-29人,埼玉県戸田市上戸田2-36-12シティライブ戸田公園102,http://www.yamadaroumu.com/
108,ナグモ社労士事務所,1905年, - , - ,相生町６－104ー６F,http://www.nagumo555.jp/
109,LMC社労士事務所,2016年, - ,10-29人,千葉県千葉市中央2-9-8　千葉広小路ビル302,https://lmcon.com/
110,社会保険労務士法人エール,1998年, - ,10-29人,大豆戸町1018エールビル,https://www.sr-yell.com/
111,高田社会保険労務士事務所, - , - , - ,下倉田町1034-34,http://www.office-takada.biz/
112,社会保険労務士金山経営労務事務所,2007年, - , - ,東京都新宿区西新宿4-17-5T&Kビル2階,http://www.office-kanayama.jp/
113,山口社会保険労務士・行政書士オフィス, - , - , - ,埼玉県さいたま市上落合2-3-2 mio新都心,http://www.sharoushi-net.com/
114,戸田社会保険労務士事務所,2011年, - , - ,埼玉県さいたま市鈴谷4-1-3-302,http://www.sr-toda.com/
115,社会保険労務士有賀ヒメ子事務所,2008年, - , - ,千葉県野田市木間ケ瀬2397-1,http://sr-hime.com/
116,机・加藤 社会保険労務士法人,1974年, - , - ,東京都渋谷区道玄坂1-9-4ODAビル7階,http://www.tsukue-partners.com/
117,西條社会保険労務士事務所,2012年, - , - ,元町4-168　ビズサークル横浜元町4F-17,http://nishijo-sr.com/
118,後藤博章経営労務管理事務所,1999年, - ,1-4人,兵庫県姫路市田寺東3-9-16,https://gotoroumu.jp/
119,社会保険労務士法人あい事務所,2004年, - ,5-9人,東京都渋谷区代々木1-54-1石井ビル4F,https://ai-sr.or.jp/
120,おおばやし社会保険労務士事務所,2004年, - , - ,東京都江東区大島1-3-1-508,http://www.sr-oobayashi.jp/
121,池田社会保険労務士事務所,2008年, - , - ,埼玉県所沢市荒幡952－5,http://ikeda-office.net/
122,社会保険労務士・行政書士蔭山行伸事務所,1905年, - , - ,神奈川県横浜市大岡1-59-3,http://www.kageyama-sr.com/
123,社会保険労務士　山田事務所,2004年, - ,5-9人,石川県金沢市鈴見台1丁目5番14号,http://www.sryamada.jp/
124,オーライ経営労務オフィス, - , - ,1-4人,東京都府中市栄町2-21-3キューブビル203,http://ou-kei-roumu.main.jp/
125,あさひ社会保険労務士事務所,2008年, - , - ,大阪府大阪市福島区吉野4-6-3,http://www.asahi-sr.jp/
