No.,会社名,設立年,代表者名,従業員数,住所,会社URL
153,株式会社インテック,2000年, - , - ,茨城県つくば市吾妻2-8-8 つくばシティアビル6F,https://intec-ltd.co.jp
154,ベルサンテスタッフ株式会社,2012年, - , - ,大阪府大阪市淀川区東三国5丁目15番14号ﾍﾞﾙｻﾝﾃﾋﾞﾙ4F,http://www.bellsante.co.jp/
155,株式会社 人材派遣センターオキナワ,1984年, - ,5-9人,沖縄県那覇市久茂地1-7-1　琉球リース総合ビル9階,http://www.jinzai-okinawa.co.jp/
156,株式会社ホット沖縄,1990年, - , - ,沖縄県那覇市西1-9-18　T’sウエストタウン2F,http://hot-okinawa.co.jp/
157,株式会社ビジネスインテリジェンス,2002年, - ,10-29人,大阪府大阪市中央区谷町3丁目6-4 大拓ビル20 8F,http://www.bantousan.com/
158,株式会社メイテックキャスト,2000年, - ,30-99人,東京都千代田区神田佐久間町二丁目19番地　櫻岳ビル7階,http://www.meitec-cast.co.jp/
159,株式会社南日本ビジネスサービス,1986年, - , - ,鹿児島県鹿児島市西千石町11-21 MSビル,http://www.haken-kagoshima.net/
160,株式会社シーエムシー,1998年, - ,30-99人,東京都港区新橋 4-30-6 京急中はらビル2F,https://www.cmcnet.co.jp
161,株式会社KDP,1992年, - , - ,大阪府大阪市港区築港2-1-2 第一大阪港ビル4F,http://www.kdp21.com/
162,オネスティオフィスサポート株式会社,2007年, - , - ,千葉県千葉市若葉区高品町1079-2,http://www.e-honesty.co.jp/
163,株式会社グッドパートナーズ,2007年, - , - ,東京都世田谷区三軒茶屋1-37-8ワコーレ三軒茶屋64ビル4階,http://www.good-partners.jp/
164,株式会社カインズサービス,2003年, - ,30-99人,東京都大田区蒲田5-8-7　蒲田K-1ビル5階,https://www.kind-sservice.co.jp
165,ディプロス株式会社,2001年, - ,30-99人,愛知県名古屋市中区丸の内3-17-6ナカトウ丸の内ビル5F,https://www.dipross.co.jp/
166,長崎ダイヤモンドスタッフ株式会社,1986年, - , - ,長崎県長崎市淵町2番25号,http://www.diamondstaff.co.jp/
167,ANAビジネスソリューション株式会社,1988年, - ,100-499人,東京都大田区羽田旭町10-8 ANA Blue Base 7階,http://abc.jp/
168,株式会社 アイ・エヌ・ジー・エンタープライズ,1997年, - , - ,東京都新宿区早稲田町12-5 ニュー早稲田ビル6F,http://www.ing-ent.co.jp/
169,株式会社シティスタッフ,1991年, - ,30-99人,奈良県奈良市佐保台2丁目902-377 シスタハウス２F,https://www.citystaff.co.jp/citystaff/
170,株式会社スタッフブレーン,2005年, - , - ,栃木県小山市城東2-19-13,http://staffbrain.com/
171,株式会社エキスパート仙台,1982年, - , - ,宮城県仙台市青葉区本町1-1-8 第一日本オフィスビル2F,http://www.jinzainet.com/
172,東京事務代行株式会社,1965年, - ,500-999人,東京都港区芝大門1-16-3　芝大門116ビル6階,https://www.jimudaiko.com
173,株式会社ウィルオブ・ファクトリー,1997年, - ,1000人以上,東京都新宿区新宿三丁目1番24号 京王新宿三丁目ビル3階,https://willof-factory.co.jp/
174,株式会社ECCベストキャリア,1989年, - , - ,大阪府大阪市北区東天満1丁目10番20号 ECC本社ビル9F,http://www.eccbestcareer.com/
175,関東サービス株式会社,1988年, - ,100-499人,東京都台東区上野6-16-18上野都信ビル5階,https://www.kantou.co.jp/
176,株式会社ホテリエスタッフ,2005年, - , - ,兵庫県西宮市池田町3-1　サンテック・BLD　202,http://www.hotelier.co.jp/
177,株式会社ジャパンコミュニティ,2003年, - ,100-499人,秋田県秋田市土崎港相染町字中谷地177-4,http://www.japancommunity.co.jp/
178,株式会社シークルー,2009年, - , - ,兵庫県神戸市中央区播磨町49番地　神戸旧居留地平和ビル8F,http://www.ccr.co.jp/
179,株式会社トライ,2006年, - , - ,三重県志摩市阿児町鵜方4843,http://try-gp.com/
180,株式会社グローバル・スタッフ,2001年, - , - ,愛知県名古屋市中区栄2-6-1 RT白川ビル 6F,http://www.global-staff.co.jp/
181,アイティエス株式会社,1986年, - , - ,愛媛県今治市北宝来町1丁目2番地2,http://www.ehime-its.co.jp/
182,株式会社ジャスプロ,2004年, - , - ,鹿児島県鹿児島市上之園町25－36　光健ボイスビル405号,http://www.juspro2.co.jp/
183,アスタッフ株式会社,2008年, - , - ,兵庫県神戸市中央区磯上通8丁目3番地10号 井門三宮ビル11階,http://astaff-green.com/
184,株式会社クレセント,1999年, - , - ,大阪府枚方市東田宮1丁目11-1 橋本ビル303,https://e-cres.jp/
185,株式会社ヒューマンコミュニティ,1991年, - , - ,大阪府大阪市中央区久太郎町2-5-31 本町寺田ビルディング,http://human-cmty.co.jp/
186,株式会社アイエンジニアリングスタッフ,2012年, - , - ,北海道札幌市中央区北2条東17丁目2番地,http://www.ie-staff.co.jp/
187,株式会社ブライズ,2006年, - , - ,神奈川県横浜市神奈川区栄町5-1　横浜クリエーションスクエア12F,http://www.brize.jp
188,株式会社シーエーティー,1992年, - , - ,静岡県富士宮市宮原388-11,http://cat-job.com/
189,日本インフラマネジメント株式会社,1980年, - ,30-99人,岡山県岡山市北区田益1388-7,http://hr-jimco.com/
190,株式会社ビジネスビジョン,1997年, - , - ,東京都千代田区平河町1-9-5 永田町SQUARE 1階,http://www.bequeath.jp/
191,株式会社フレンド,1995年, - , - ,三重県桑名市額田22-1,http://www.friend-mie.co.jp/
192,株式会社ファーストステップ,2006年, - , - ,三重県四日市市三栄町3-15　コバヤシビル3F,http://www.f-step.co.jp/
193,キャリアフィット株式会社,1985年, - ,30-99人,北海道札幌市中央区南1条東2丁目3番地2号マツヒロビル2F,http://www.careerfit.co.jp/
194,株式会社セントラルクルー, - , - , - ,山梨県甲府市中央1-12-42　甲府第一法曹ビル3Ｆ,http://www.centralcrew.com/
195,アドレス通商株式会社,1959年,竹尾　正,1000人以上,東京都江戸川区臨海町3-6-3,http://www.adotsu.co.jp/
196,キャリアスタッフ株式会社, - , - , - ,北海道函館市千歳町9-11千歳町ビル5F,http://career-staff.com/
197,株式会社SDセンター,1986年, - , - ,徳島県徳島市徳島町城内6番地19,https://www.sd-center.com/
198,株式会社シービーエス,1960年, - ,1000人以上,東京都港区西新橋一丁目6番15号 ＮＳ虎ノ門ビル,http://www.group-c.co.jp/
