No.,会社名,設立年,代表者名,従業員数,住所,会社URL
132,株式会社トマトジュース,2018年,代表取締役　冨好　洋康,10-29人,東京都千代田区神田淡路町2-10-14 ばんだいビル,https://www.tomatojuice.jp
133,株式会社ソラシア・エンタテインメント,2013年, - , - ,東京都港区六本木3-16-33 青葉六本木ビル3F,http://solasiaent.co.jp/#contact
134,株式会社リベルダージ,2004年,土勢隆至,5-9人,東京都渋谷区宇田川町36-6 ワールド宇田川ビル6F,http://www.reveldage.com
135,株式会社RICOFUL,2017年, - , - ,東京都豊島区西池袋2丁目36-10 ACN池袋ビル5F,https://ricoful-paint.com/
136,有限会社depth,2005年, - ,5-9人,東京都新宿区新宿5-1-1 ローヤルマンションビル401号室,http://depth-inc.co.jp/
137,Unbel合同会社,2016年, - , - ,千葉県白井市西白井3-8-7,https://unbel.jp/
138,株式会社E4un,2023年,横山　巧,5-9人,東京都新宿区高田馬場2-17-3-810,https://e4un.jp/
139,株式会社Roots,2018年, - ,30-99人,埼玉県草加市谷塚町628,https://rootsinc.co.jp/
140,株式会社Asian Bridge,2007年,小西　広恭,30-99人,東京都港区芝3-1-15 芝ボートビル 7F,https://asianbridge.co.jp/
141,合同会社Motchme,2023年,望月美里,5-9人,大阪府大阪市西区九条2-9-14,https://motchme.com/
142,株式会社one,2010年,清水佑介,10-29人,東京都新宿区神楽坂6-42　神楽坂喜多川ビル3F,https://one-inc.co.jp/
143,株式会社産案,1954年, - , - ,東京都中央区日本橋蛎殻町1-16-8 水天宮平和ビル 2F,http://www.san-an.co.jp/
144,株式会社ウィズアス,2009年, - ,10-29人,東京都中央区銀座7-16-12 G-7ビルディング9階,http://www.withus-inc.co.jp/
145,株式会社fosbury,2008年, - , - ,"東京都新宿区西新宿6-12-1 パークウエストビル5,6F",http://fosbury.co.jp/
146,株式会社ノビテク,2005年,大林　伸安,10-29人,東京都文京区小石川2-1-12 小石川トーセイビル10階,https://www.nobetech.co.jp/
147,株式会社カケハシスカイソリューションズ,2011年, - ,100-499人,東京都新宿区神楽河岸1-1 セントラルプラザ7F,https://www.kakehashi-skysol.co.jp/
148,株式会社文化放送開発センター,1967年,渡邊能秀,30-99人,東京都港区浜松町１丁目31番,https://www.joqr-bkc.co.jp/
149,株式会社IPシンフォニー,2009年, - , - ,東京都中央区日本橋室町 1-10-10 LXS室町1002,http://ip-s.jp/
150,株式会社ハーツクリエーション,2006年,鷲尾まり子,10-29人,東京都渋谷区恵比寿西1-33-15 EN代官山ビル801号,http://www.heartscreation.co.jp/
151,サクラインターナショナル株式会社,1980年, - ,100-499人,大阪府大阪市中央区備後町1-7-3 ENDO堺筋ビル3F・4F,https://www.sakurain.co.jp/
152,株式会社DI Palette,1947年, - ,100-499人,新潟県新潟市中央区和合町2-4-18,https://www.dip.co.jp/
153,株式会社セレブリックス,1998年,江川　利彦,1000人以上,東京都江東区有明3-7-18有明セントラルタワー7階,https://www.cerebrix.jp/
154,南海ケータリングサービス株式会社,1989年, - , - ,大阪府高石市取石5丁目2-40,https://nankai-cs.co.jp/
155,株式会社イベント・コミュニケーションズ,1992年, - ,30-99人,千葉県木更津市潮浜1丁目17番地21号,http://www.eventcom.jp/
156,株式会社ビジネス・フォーラム事務局,2001年, - , - ,東京都千代田区神田小川町2-2 センタークレストビル9F,https://www.b-forum.net/
157,NETWORK,1990年, - , - ,新潟県新潟市中央区東大通1-7-10　新潟セントラルビル4階,http://www.network-sp.com/
158,株式会社新宣,1986年, - ,30-99人,新潟県新潟市中央区神道寺2丁目3番23,http://shinsen.biz/
159,株式会社新潟コンベンションサービス,2001年, - , - ,新潟県新潟市北区太夫浜新町1-19-25,http://www.niicon.jp/
