No.,会社名,設立年,代表者名,従業員数,住所,会社URL
133,関東サービス株式会社,1988年, - ,100-499人,東京都台東区上野6-16-18上野都信ビル5階,https://www.kantou.co.jp/
134,株式会社とんがりコラボ,1986年, - , - ,東京都港区赤坂2-10-9　ラウンドクロス赤坂7階,https://tongari.co.jp/
135,SBヒューマンキャピタル株式会社,1999年, - ,100-499人,東京都港区六本木2丁目4番5号 六本木Ｄスクエア（旧ビル名：興和六本木ビル）3F,http://www.softbankhc.co.jp/
136,株式会社ビートップツー,1994年, - , - ,東京都港区芝大門1-15-1　第三高千穂ビル2F,http://bt2.net/
137,株式会社広報しえん,1997年, - ,30-99人,新潟県新潟市中央区南笹口1-2-16　新潟CDビル2F,https://www.4en.co.jp/
138,株式会社リクルートメディカルキャリア,1979年, - , - ,東京都千代田区九段北1丁目14-6 九段坂上KSビル,https://www.recruit-mc.co.jp/
139,アスメディックス株式会社,2002年, - ,30-99人,東京都港区東麻布1-5-2　ザイマックス東麻布ビル,https://www.asmedix.co.jp/
140,BCホールディングス株式会社,2001年, - ,100-499人,大阪府大阪市中央区久太郎町3-3-9 ORIX久太郎町ビル10F東京都新宿区西新宿1-24-1 エステック情報ビル18F・19F(受付),http://www.bc-holdings.co.jp/
141,株式会社エラン,1995年, - , - ,東京都新宿区新宿4-3-25 TOKYU REIT 新宿ビル4F宮城県仙台市青葉区本町1-1-8 第一日本オフィスビル7F大阪府大阪市中央区久太郎町2-5-28 久太郎町恒和ビル7F福岡県福岡市博多区上川端町12-28 安田第一ビル8F-C,https://www.elan-jp.com/
142,株式会社ヒューマンコミュニティ,1991年, - , - ,大阪府大阪市中央区久太郎町2-5-31 本町寺田ビルディング,http://human-cmty.co.jp/
143,株式会社パソナテック,1998年, - ,100-499人,東京都千代田区大手町2-6-2,https://www.pasonatech.co.jp/
144,株式会社 リクルートキャリア, - , - , - , - ,https://www.recruitcareer.co.jp/
145,株式会社フレンドパーク,2001年, - ,5-9人,群馬県前橋市南町2-32-5,http://friendpark.co.jp/
146,ランスタッド株式会社,1980年, - , - ,東京都千代田区紀尾井町4-1　ニューオータニガーデンコート21F,https://www.randstad.co.jp/
147,株式会社 エリメントHRC,2006年, - , - ,東京都大田区山王2-5-10　大森野村證券ビル4F,http://www.element-hrc.com
148,株式会社アイスタイルキャリア,2015年, - ,30-99人,東京都港区赤坂1-12-32 アーク森ビル34階,https://career.cosme.net/
149,株式会社リブリッジ,2014年, - , - ,東京都千代田区岩本町3-2-2　千代田岩本ビル4階,https://www.rebridge.co.jp/
